fid,table,foreign_table,foreign_column
PO_ATTRIBUTE_VALUES.PO_LINES_ALL.PO_LINE_ID,PO_ATTRIBUTE_VALUES,PO_LINES_ALL,PO_LINE_ID
RCV_TRANSACTIONS.PO_LINES_ALL.PO_LINE_ID,RCV_TRANSACTIONS,PO_LINES_ALL,PO_LINE_ID
PO_LINE_LOCATIONS_ALL.PO_LINES_ALL.FROM_LINE_ID,PO_LINE_LOCATIONS_ALL,PO_LINES_ALL,FROM_LINE_ID
PO_LINE_LOCATIONS_ALL.PO_LINES_ALL.PO_LINE_ID,PO_LINE_LOCATIONS_ALL,PO_LINES_ALL,PO_LINE_ID
PO_ATTRIBUTE_VALUES_TLP.PO_LINES_ALL.PO_LINE_ID,PO_ATTRIBUTE_VALUES_TLP,PO_LINES_ALL,PO_LINE_ID
INV_SUPPLY.PO_LINES_ALL.PO_LINE_ID,INV_SUPPLY,PO_LINES_ALL,PO_LINE_ID
RCV_SUPPLY.PO_LINES_ALL.PO_LINE_ID,RCV_SUPPLY,PO_LINES_ALL,PO_LINE_ID
RCV_TRANSACTIONS_INTERFACE.PO_LINES_ALL.PO_LINE_ID,RCV_TRANSACTIONS_INTERFACE,PO_LINES_ALL,PO_LINE_ID
AP_INVOICE_LINES_INTERFACE.PO_LINES_ALL.PO_LINE_ID,AP_INVOICE_LINES_INTERFACE,PO_LINES_ALL,PO_LINE_ID
RCV_SHIPMENT_LINES.PO_LINES_ALL.PO_LINE_ID,RCV_SHIPMENT_LINES,PO_LINES_ALL,PO_LINE_ID
PO_LINES_ALL.PO_LINES_ALL.FROM_LINE_ID,PO_LINES_ALL,PO_LINES_ALL,FROM_LINE_ID
PO_LINES_DRAFT_ALL.PO_LINES_ALL.FROM_LINE_ID,PO_LINES_DRAFT_ALL,PO_LINES_ALL,FROM_LINE_ID
FA_ASSET_INVOICES.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,FA_ASSET_INVOICES,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
RCV_TRANSACTIONS.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,RCV_TRANSACTIONS,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
INV_SUPPLY.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,INV_SUPPLY,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
AP_INVOICE_LINES_ALL.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,AP_INVOICE_LINES_ALL,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
RCV_SUPPLY.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,RCV_SUPPLY,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
RCV_TRANSACTIONS_INTERFACE.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,RCV_TRANSACTIONS_INTERFACE,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
FA_MC_ASSET_INVOICES.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,FA_MC_ASSET_INVOICES,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
AP_INVOICE_LINES_INTERFACE.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,AP_INVOICE_LINES_INTERFACE,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
RCV_SHIPMENT_LINES.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,RCV_SHIPMENT_LINES,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
FA_MASS_ADDITIONS.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,FA_MASS_ADDITIONS,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
AP_INVOICE_DISTRIBUTIONS_ALL.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,AP_INVOICE_DISTRIBUTIONS_ALL,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
AP_INVOICES_ALL.AP_BATCHES_ALL.BATCH_ID,AP_INVOICES_ALL,AP_BATCHES_ALL,BATCH_ID
AP_INVOICES_ALL.PO_HEADERS_ALL.PO_HEADER_ID,AP_INVOICES_ALL,PO_HEADERS_ALL,PO_HEADER_ID
AP_INVOICES_ALL.GL_CODE_COMBINATIONS.PA_DEFAULT_DIST_CCID,AP_INVOICES_ALL,GL_CODE_COMBINATIONS,PA_DEFAULT_DIST_CCID
"AP_INVOICES_ALL.AP_DOC_SEQUENCE_AUDIT.DOC_SEQUENCE_ID, DOC_SEQUENCE_VALUE",AP_INVOICES_ALL,AP_DOC_SEQUENCE_AUDIT,"DOC_SEQUENCE_ID, DOC_SEQUENCE_VALUE"
AP_INVOICES_ALL.AP_AWT_GROUPS.AWT_GROUP_ID,AP_INVOICES_ALL,AP_AWT_GROUPS,AWT_GROUP_ID
"AP_INVOICES_ALL.GL_USSGL_TRANSACTION_CODES.SET_OF_BOOKS_ID, USSGL_TRANSACTION_CODE",AP_INVOICES_ALL,GL_USSGL_TRANSACTION_CODES,"SET_OF_BOOKS_ID, USSGL_TRANSACTION_CODE"
AP_INVOICES_ALL.POZ_SUPPLIER_CONTACTS.VENDOR_CONTACT_ID,AP_INVOICES_ALL,POZ_SUPPLIER_CONTACTS,VENDOR_CONTACT_ID
AP_INVOICES_ALL.POZ_SUPPLIERS.VENDOR_ID,AP_INVOICES_ALL,POZ_SUPPLIERS,VENDOR_ID
AP_INVOICES_ALL.GL_DAILY_CONVERSION_TYPES.PAYMENT_CROSS_RATE_TYPE,AP_INVOICES_ALL,GL_DAILY_CONVERSION_TYPES,PAYMENT_CROSS_RATE_TYPE
AP_INVOICES_ALL.GL_LEDGERS.SET_OF_BOOKS_ID,AP_INVOICES_ALL,GL_LEDGERS,SET_OF_BOOKS_ID
AP_INVOICES_ALL.HZ_PARTIES.PARTY_ID,AP_INVOICES_ALL,HZ_PARTIES,PARTY_ID
AP_INVOICES_ALL.AP_DISTRIBUTION_SETS_ALL.DISTRIBUTION_SET_ID,AP_INVOICES_ALL,AP_DISTRIBUTION_SETS_ALL,DISTRIBUTION_SET_ID
AP_INVOICES_ALL.AP_INVOICES_ALL.TAX_RELATED_INVOICE_ID,AP_INVOICES_ALL,AP_INVOICES_ALL,TAX_RELATED_INVOICE_ID
AP_INVOICES_ALL.HZ_PARTY_SITES.PARTY_SITE_ID,AP_INVOICES_ALL,HZ_PARTY_SITES,PARTY_SITE_ID
AP_INVOICES_ALL.PER_PERSONS.REQUESTER_ID,AP_INVOICES_ALL,PER_PERSONS,REQUESTER_ID
AP_INVOICES_ALL.XLE_ENTITY_PROFILES.LEGAL_ENTITY_ID,AP_INVOICES_ALL,XLE_ENTITY_PROFILES,LEGAL_ENTITY_ID
AP_INVOICES_ALL.POZ_SUPPLIERS.REMIT_TO_SUPPLIER_ID,AP_INVOICES_ALL,POZ_SUPPLIERS,REMIT_TO_SUPPLIER_ID
AP_INVOICES_ALL.HZ_PARTY_SITES.REMIT_TO_ADDRESS_ID,AP_INVOICES_ALL,HZ_PARTY_SITES,REMIT_TO_ADDRESS_ID
AP_INVOICES_ALL.POZ_SUP_THIRDPARTY_PAYMENT_REL.RELATIONSHIP_ID,AP_INVOICES_ALL,POZ_SUP_THIRDPARTY_PAYMENT_REL,RELATIONSHIP_ID
AP_INVOICES_ALL.AP_TERMS_B.TERMS_ID,AP_INVOICES_ALL,AP_TERMS_B,TERMS_ID
AP_INVOICES_ALL.PJF_PROJECTS_ALL_B.PROJECT_ID,AP_INVOICES_ALL,PJF_PROJECTS_ALL_B,PROJECT_ID
AP_INVOICES_ALL.GL_CODE_COMBINATIONS.ACCTS_PAY_CODE_COMBINATION_ID,AP_INVOICES_ALL,GL_CODE_COMBINATIONS,ACCTS_PAY_CODE_COMBINATION_ID
"AP_INVOICES_ALL.FND_CURRENCIES_B.INVOICE_CURRENCY_CODE, ORG_ID",AP_INVOICES_ALL,FND_CURRENCIES_B,"INVOICE_CURRENCY_CODE, ORG_ID"
FA_ADJ_SRC_LINES_T.AP_INVOICES_ALL.INVOICE_ID,FA_ADJ_SRC_LINES_T,AP_INVOICES_ALL,INVOICE_ID
